iter	Passed	Remaining
672	3015	1465
673	3019	1460
674	3022	1455
675	3026	1450
676	3029	1445
677	3032	1440
678	3036	1435
679	3039	1430
680	3043	1425
681	3047	1420
682	3051	1416
683	3055	1411
684	3058	1406
685	3062	1401
686	3066	1397
687	3070	1392
688	3073	1387
689	3077	1382
690	3081	1377
691	3085	1373
692	3088	1368
693	3092	1363
694	3096	1358
695	3100	1354
696	3104	1349
697	3107	1344
698	3111	1339
699	3115	1335
700	3118	1330
701	3122	1325
702	3126	1320
703	3129	1315
704	3133	1311
705	3136	1306
706	3140	1301
707	3143	1296
708	3147	1291
709	3150	1286
710	3154	1282
711	3157	1277
712	3161	1272
713	3165	1267
714	3169	1263
715	3173	1258
716	3177	1254
717	3180	1249
718	3184	1244
719	3187	1239
720	3191	1234
721	3194	1230
722	3198	1225
723	3201	1220
724	3205	1215
725	3208	1211
726	3212	1206
727	3215	1201
728	3219	1196
729	3223	1192
730	3226	1187
731	3230	1182
732	3234	1178
733	3237	1173
734	3241	1168
735	3246	1164
736	3250	1159
737	3253	1155
738	3257	1150
739	3261	1146
740	3265	1141
741	3269	1136
742	3273	1132
743	3277	1127
744	3281	1123
745	3284	1118
746	3288	1113
747	3291	1109
748	3295	1104
749	3299	1099
750	3302	1095
751	3306	1090
752	3309	1085
753	3313	1080
754	3316	1076
755	3320	1071
756	3323	1066
757	3327	1062
758	3330	1057
759	3334	1052
760	3338	1048
761	3342	1043
762	3345	1039
763	3349	1034
764	3353	1030
765	3357	1025
766	3362	1021
767	3366	1017
768	3370	1012
769	3374	1007
770	3377	1003
771	3381	998
772	3385	994
773	3388	989
774	3392	984
775	3395	980
776	3399	975
777	3403	971
778	3407	966
779	3411	962
780	3415	957
781	3418	953
782	3422	948
783	3425	943
784	3429	939
785	3433	934
786	3437	930
787	3440	925
788	3445	921
789	3448	916
790	3451	912
791	3455	907
792	3459	903
793	3463	898
794	3467	894
795	3470	889
796	3474	885
797	3479	880
798	3483	876
799	3487	871
800	3491	867
801	3495	863
802	3500	858
803	3504	854
804	3508	849
805	3511	845
806	3515	840
807	3519	836
808	3522	831
809	3526	827
810	3529	822
811	3533	818
812	3537	813
813	3541	809
814	3545	804
815	3549	800
816	3552	795
817	3556	791
818	3560	786
819	3564	782
820	3567	777
821	3570	773
822	3574	768
823	3577	764
824	3581	759
825	3584	755
826	3587	750
827	3591	746
828	3594	741
829	3598	737
830	3601	732
831	3605	728
832	3609	723
833	3612	719
834	3616	714
835	3620	710
836	3623	705
837	3627	701
838	3630	696
839	3634	692
840	3638	687
841	3641	683
842	3645	678
843	3648	674
844	3652	670
845	3656	665
846	3660	661
847	3663	656
848	3667	652
849	3671	647
850	3674	643
851	3678	638
852	3682	634
853	3685	630
854	3689	625
855	3693	621
856	3697	616
857	3700	612
858	3704	608
859	3708	603
860	3711	599
861	3715	594
862	3719	590
863	3722	585
864	3726	581
865	3729	577
866	3733	572
867	3736	568
868	3741	563
869	3744	559
870	3748	555
871	3751	550
872	3755	546
873	3759	541
874	3762	537
875	3766	533
876	3770	528
877	3773	524
878	3777	519
879	3781	515
880	3785	511
881	3789	506
882	3792	502
883	3796	498
884	3800	493
885	3803	489
886	3807	485
887	3811	480
888	3815	476
889	3818	472
890	3823	467
891	3826	463
892	3830	458
893	3833	454
894	3837	450
895	3840	445
896	3844	441
897	3848	437
898	3851	432
899	3854	428
900	3858	423
901	3861	419
902	3865	415
903	3868	410
904	3872	406
905	3875	402
906	3879	397
907	3883	393
908	3886	389
909	3890	384
910	3893	380
911	3897	376
912	3901	371
913	3904	367
914	3908	363
915	3911	358
916	3915	354
917	3918	350
918	3922	345
919	3927	341
920	3930	337
921	3934	332
922	3938	328
923	3942	324
924	3945	319
925	3949	315
926	3953	311
927	3957	307
928	3961	302
929	3964	298
930	3969	294
931	3973	289
932	3977	285
933	3981	281
934	3985	277
935	3989	272
936	3992	268
937	3996	264
938	3999	259
939	4003	255
940	4007	251
941	4010	246
942	4014	242
943	4018	238
944	4021	234
945	4025	229
946	4029	225
947	4032	221
948	4036	216
949	4039	212
950	4043	208
951	4046	204
952	4050	199
953	4053	195
954	4057	191
955	4061	186
956	4065	182
957	4069	178
958	4072	174
959	4076	169
960	4079	165
961	4083	161
962	4086	157
963	4090	152
964	4093	148
965	4097	144
966	4100	139
967	4104	135
968	4107	131
969	4111	127
970	4115	122
971	4118	118
972	4122	114
973	4126	110
974	4129	105
975	4133	101
976	4137	97
977	4140	93
978	4144	88
979	4148	84
980	4152	80
981	4155	76
982	4159	71
983	4163	67
984	4166	63
985	4169	59
986	4173	54
987	4177	50
988	4180	46
989	4183	42
990	4187	38
991	4190	33
992	4194	29
993	4197	25
994	4201	21
995	4205	16
996	4208	12
997	4212	8
998	4215	4
999	4219	0
